"aɪ"	"V"	"VV"
"tu.pa.jɔn"	"CV.CV.CVC"	"CV.CV.CVC"
"tu.pas"	"CV.CVC"	"CV.CVC"
"tu.pa.san"	"CV.CV.CVC"	"CV.CV.CVC"
"tu.pa.ti.nu"	"CV.CV.CV.CV"	"CV.CV.CV.CV"
"tu.pɔɪ"	"CV.CV"	"CV.CVV"
"tu.raɪ"	"CV.CV"	"CV.CVV"
"tu.ra.vaŋ"	"CV.CV.CVC"	"CV.CV.CVC"
"tu.ri.ran"	"CV.CV.CVC"	"CV.CV.CVC"
"tu.ta"	"CV.CV"	"CV.CV"
"tu.vaɪ"	"CV.CV"	"CV.CVV"
"tu.vo"	"CV.CV"	"CV.CV"
"u.bo"	"V.CV"	"V.CV"
"u.dan"	"V.CVC"	"V.CVC"
"u.haɪ"	"V.CV"	"V.CVV"
"u.laŋ"	"V.CVC"	"V.CVC"
"u.lʊs"	"V.CVC"	"V.CVC"
"u.maŋ"	"V.CVC"	"V.CVC"
"u.sɪŋ"	"V.CVC"	"V.CVC"
"u.tɔŋ"	"V.CVC"	"V.CVC"
"va"	"CV"	"CV"
"vaɪ"	"CV"	"CVV"
"va.di.saːn"	"CV.CV.CVC"	"CV.CV.CVVC"
"va.ga"	"CV.CV"	"CV.CV"
"va.ham"	"CV.CVC"	"CV.CVC"
"va.ja"	"CV.CV"	"CV.CV"
"va.jam"	"CV.CVC"	"CV.CVC"
"vaɪ.jam"	"CV.CVC"	"CVV.CVC"
"va.jaŋ"	"CV.CVC"	"CV.CVC"
"va.jas"	"CV.CVC"	"CV.CVC"
"va.je.a"	"CV.CV.V"	"CV.CV.V"
"va.je.na"	"CV.CV.CV"	"CV.CV.CV"
"va.je.ri"	"CV.CV.CV"	"CV.CV.CV"
"va.ji.sa"	"CV.CV.CV"	"CV.CV.CV"
"va.jʊr"	"CV.CVC"	"CV.CVC"
"va.kas"	"CV.CVC"	"CV.CVC"
"va.lʊɪ"	"CV.CV"	"CV.CVV"
"va.la"	"CV.CV"	"CV.CV"
"va.la.taŋ"	"CV.CV.CVC"	"CV.CV.CVC"
"va.li.ka.tu"	"CV.CV.CV.CV"	"CV.CV.CV.CV"
"va.ma.ja"	"CV.CV.CV"	"CV.CV.CV"
"va.mwaɪ"	"CV.CCV"	"CV.CCVV"
"van"	"CVC"	"CVC"
"va.na"	"CV.CV"	"CV.CV"
"vaːŋ"	"CVC"	"CVVC"
"vaŋ.an"	"CVC.VC"	"CVC.VC"
"va.pa"	"CV.CV"	"CV.CV"
"va.pan"	"CV.CVC"	"CV.CVC"
"va.pa.tan"	"CV.CV.CVC"	"CV.CV.CVC"
"va.raɪ"	"CV.CV"	"CV.CVV"
"va.ri"	"CV.CV"	"CV.CV"
"var.jaːn.ja"	"CVC.CVC.CV"	"CVC.CVVC.CV"
"var.ki.sa.ja"	"CVC.CV.CV.CV"	"CVC.CV.CV.CV"
"vaːs"	"CVC"	"CVVC"
"va.sa"	"CV.CV"	"CV.CV"
"va.si"	"CV.CV"	"CV.CV"
"va.si.kaɪ"	"CV.CV.CV"	"CV.CV.CVV"
"vas.ra"	"CVC.CV"	"CVC.CV"
"va.su"	"CV.CV"	"CV.CV"
"va.tʃan"	"CV.CVC"	"CV.CCVC"
"veɪ"	"CV"	"CVV"
"ve.ba"	"CV.CV"	"CV.CV"
"ve.ba.o.san"	"CV.CV.V.CVC"	"CV.CV.V.CVC"
"ve.han"	"CV.CVC"	"CV.CVC"
"ve.ha.ve.ha"	"CV.CV.CV.CV"	"CV.CV.CV.CV"
"ve.hi.ma.ti"	"CV.CV.CV.CV"	"CV.CV.CV.CV"
"ve.hɪm"	"CV.CVC"	"CV.CVC"
"ve.ja"	"CV.CV"	"CV.CV"
"ve.jaːn"	"CV.CVC"	"CV.CVVC"
"ve.jaːn.jam"	"CV.CVC.CVC"	"CV.CVVC.CVC"
"ve.kam"	"CV.CVC"	"CV.CVC"
"ve.kam.de.keɪ"	"CV.CVC.CV.CV"	"CV.CVC.CV.CVV"
"ve.ki.nan"	"CV.CV.CVC"	"CV.CV.CVC"
"ve.lam.pa.ja"	"CV.CVC.CV.CV"	"CV.CVC.CV.CV"
"ve.lan"	"CV.CVC"	"CV.CVC"
"ve.lɪŋ.kaɪ"	"CV.CVC.CV"	"CV.CVC.CVV"
"vɛn"	"CVC"	"CVC"
"ve.nam"	"CV.CVC"	"CV.CVC"
"ve.neɪ"	"CV.CV"	"CV.CVV"
"vɛŋ.aːn"	"CVC.VC"	"CVC.VVC"
"vɛŋ.ar.jo"	"CVC.VC.CV"	"CVC.VC.CV"
"vɛŋ.ku"	"CVC.CV"	"CVC.CV"
"vɛŋ.ku.be.sɔn"	"CVC.CV.CV.CVC"	"CVC.CV.CV.CVC"
"vɛŋ.kwan"	"CVC.CCVC"	"CVC.CCVC"
"ve.ni.su"	"CV.CV.CV"	"CV.CV.CV"
"ve.no"	"CV.CV"	"CV.CV"
"ve.raɪ"	"CV.CV"	"CV.CVV"
"vɛr.ja"	"CVC.CV"	"CVC.CV"
"vɛr.jaːn"	"CVC.CVC"	"CVC.CVVC"
"ve.saŋ"	"CV.CVC"	"CV.CVC"
"ve.si.sa"	"CV.CV.CV"	"CV.CV.CV"
"ve.ta"	"CV.CV"	"CV.CV"
"ve.taːn"	"CV.CVC"	"CV.CVVC"
"ve.taɪ.sa.no"	"CV.CV.CV.CV"	"CV.CVV.CV.CV"
"vi.da"	"CV.CV"	"CV.CV"
"vi.ha"	"CV.CV"	"CV.CV"
"vi.haɪ"	"CV.CV"	"CV.CVV"
"vi.haːn"	"CV.CVC"	"CV.CVVC"
"vi.ju"	"CV.CV"	"CV.CV"
"vi.laɪ"	"CV.CV"	"CV.CVV"
"vi.leɪ"	"CV.CV"	"CV.CVV"
"vi.na"	"CV.CV"	"CV.CV"
"vi.ni.ma.jɔn"	"CV.CV.CV.CVC"	"CV.CV.CV.CVC"
"vi.nɪm"	"CV.CVC"	"CV.CVC"
"vi.pi.ma.kaːr.ja"	"CV.CV.CV.CVC.CV"	"CV.CV.CV.CVVC.CV"
"vi.pɪn"	"CV.CVC"	"CV.CVC"
"vi.raŋ"	"CV.CVC"	"CV.CVC"
"vi.re.taː.ja"	"CV.CV.CV.CV"	"CV.CV.CVV.CV"
"vi.sam"	"CV.CVC"	"CV.CVC"
"vi.saːn"	"CV.CVC"	"CV.CVVC"
"vi.tu.raɪ"	"CV.CV.CV"	"CV.CV.CVV"
"vi.tu.ran"	"CV.CV.CVC"	"CV.CV.CVC"
"vɪŋ.a"	"CVC.V"	"CVC.V"
"vɪŋ.i.sɔɪ"	"CVC.V.CV"	"CVC.V.CVV"
"vɪŋ.ɔn"	"CVC.VC"	"CVC.VC"
"vo.maɪ"	"CV.CV"	"CV.CVV"
"vu.re.taːn"	"CV.CV.CVC"	"CV.CV.CVVC"
"waː.ka.ja"	"CV.CV.CV"	"CVV.CV.CV"
"ba.buː"	"CV.CV"	"CV.CVV"
"a.da"	"V.CV"	"V.CV"
"a.da"	"V.CV"	"V.CV"
"a.da"	"V.CV"	"V.CV"
"a.daː.hal.ja"	"V.CV.CVC.CV"	"V.CVV.CVC.CV"
"a.daŋ"	"V.CVC"	"V.CVC"
"a.dan.ja"	"V.CVC.CV"	"V.CVC.CV"
"a.dan.ja"	"V.CVC.CV"	"V.CVC.CV"
"a.dan.ja"	"V.CVC.CV"	"V.CVC.CV"
"a.dan.ja"	"V.CVC.CV"	"V.CVC.CV"
"a.dan.ja"	"V.CVC.CV"	"V.CVC.CV"
"a.dan.ja"	"V.CVC.CV"	"V.CVC.CV"
"a.dan.ja"	"V.CVC.CV"	"V.CVC.CV"
"a.dan.ja"	"V.CVC.CV"	"V.CVC.CV"
"a.dan.ja.na"	"V.CVC.CV.CV"	"V.CVC.CV.CV"
"a.dan.ja.na"	"V.CVC.CV.CV"	"V.CVC.CV.CV"
"a.dan.jaːŋ"	"V.CVC.CVC"	"V.CVC.CVVC"
"a.dan.jaːŋ"	"V.CVC.CVC"	"V.CVC.CVVC"
"a.dan.jaːŋ"	"V.CVC.CVC"	"V.CVC.CVVC"
"a.dan.jaːŋ"	"V.CVC.CVC"	"V.CVC.CVVC"
"a.dan.jaːŋ"	"V.CVC.CVC"	"V.CVC.CVVC"
"a.dan.jaːŋ"	"V.CVC.CVC"	"V.CVC.CVVC"
"a.dan.jaːŋ"	"V.CVC.CVC"	"V.CVC.CVVC"
"a.dan.jaːŋ"	"V.CVC.CVC"	"V.CVC.CVVC"
"a.dan.ja.rɛŋ"	"V.CVC.CV.CVC"	"V.CVC.CV.CVC"
"a.dan.jaːs"	"V.CVC.CVC"	"V.CVC.CVVC"
"a.dan.jaːs"	"V.CVC.CVC"	"V.CVC.CVVC"
"a.dan.ja.ja"	"V.CVC.CV.CV"	"V.CVC.CV.CV"
"a.da.rɛŋ"	"V.CV.CVC"	"V.CV.CVC"
"a.da.rɛŋ"	"V.CV.CVC"	"V.CV.CVC"
"a.da.rɛŋ"	"V.CV.CVC"	"V.CV.CVC"
"a.da.rɛŋ"	"V.CV.CVC"	"V.CV.CVC"
"a.da.rɛŋ"	"V.CV.CVC"	"V.CV.CVC"
"a.da.rɛŋ"	"V.CV.CVC"	"V.CV.CVC"
"a.da.rɛŋ"	"V.CV.CVC"	"V.CV.CVC"
"a.da.rɛŋ"	"V.CV.CVC"	"V.CV.CVC"
"a.da.rɛŋ"	"V.CV.CVC"	"V.CV.CVC"
"a.da.rɛŋ"	"V.CV.CVC"	"V.CV.CVC"
"a.da.rɛŋ"	"V.CV.CVC"	"V.CV.CVC"
"a.da.rɛŋ"	"V.CV.CVC"	"V.CV.CVC"
"a.da.rɛŋ"	"V.CV.CVC"	"V.CV.CVC"
"a.da.rɛŋ"	"V.CV.CVC"	"V.CV.CVC"
"a.da.rɛŋ"	"V.CV.CVC"	"V.CV.CVC"
"a.da.wi"	"V.CV.CV"	"V.CV.CV"
"a.da.wi"	"V.CV.CV"	"V.CV.CV"
"a.da.wi"	"V.CV.CV"	"V.CV.CV"
"a.da.ja"	"V.CV.CV"	"V.CV.CV"
"a.da.ja"	"V.CV.CV"	"V.CV.CV"
"a.da.ja"	"V.CV.CV"	"V.CV.CV"
"a.da.jam"	"V.CV.CVC"	"V.CV.CVC"
"a.da.jam"	"V.CV.CVC"	"V.CV.CVC"
"a.dru.ran"	"V.CCV.CVC"	"V.CCV.CVC"
"a.du.ne.na"	"V.CV.CV.CV"	"V.CV.CV.CV"
"a.gi.jam"	"V.CV.CVC"	"V.CV.CVC"
"a.go.nan"	"V.CV.CVC"	"V.CV.CVC"
"ah"	"VC"	"VC"
"ah"	"VC"	"VC"
"ah"	"VC"	"VC"
"aːh"	"VC"	"VVC"
"a.hal"	"V.CVC"	"V.CVC"
"a.ha.le.na"	"V.CV.CV.CV"	"V.CV.CV.CV"
"a.hal.ja"	"V.CVC.CV"	"V.CVC.CV"
"a.hal.ja"	"V.CVC.CV"	"V.CVC.CV"
"a.hal.ja"	"V.CVC.CV"	"V.CVC.CV"
"a.dʒa.man"	"V.CV.CVC"	"V.CCV.CVC"
"a.dʒaːn"	"V.CVC"	"V.CCVVC"
"a.dʒaːn"	"V.CVC"	"V.CCVVC"
"a.dʒaːn"	"V.CVC"	"V.CCVVC"
"a.dʒaːn"	"V.CVC"	"V.CCVVC"
"a.dʒaːn"	"V.CVC"	"V.CCVVC"
"a.dʒaːn"	"V.CVC"	"V.CCVVC"
"a.dʒaːn"	"V.CVC"	"V.CCVVC"
"a.dʒaː.ne.na"	"V.CV.CV.CV"	"V.CCVV.CV.CV"
"a.dʒaː.ne.na"	"V.CV.CV.CV"	"V.CCVV.CV.CV"
"a.dʒaːn.dʒas"	"V.CVC.CVC"	"V.CCVVC.CCVC"
"a.kan"	"V.CVC"	"V.CVC"
"a.kan"	"V.CVC"	"V.CVC"
"a.lɪŋ.o"	"V.CVC.V"	"V.CVC.V"
"a.maŋ.ɔɪ.rɛŋ"	"V.CVC.V.CVC"	"V.CVC.VV.CVC"
"a.maŋ.jo"	"V.CVC.CV"	"V.CVC.CV"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ"	"VC"	"VC"
"aŋ.li"	"VC.CV"	"VC.CV"
"a.ni"	"V.CV"	"V.CV"
"aŋ.kju"	"VC.CCV"	"VC.CCV"
"aŋ.kju"	"VC.CCV"	"VC.CCV"
"a.pan"	"V.CVC"	"V.CVC"
"a.pan"	"V.CVC"	"V.CVC"
"a.pan"	"V.CVC"	"V.CVC"
"a.pan"	"V.CVC"	"V.CVC"
"a.pan"	"V.CVC"	"V.CVC"
"a.pan"	"V.CVC"	"V.CVC"
"a.pa.ni.sa.rɛŋ"	"V.CV.CV.CV.CVC"	"V.CV.CV.CV.CVC"
"a.pan.dʒam"	"V.CVC.CVC"	"V.CVC.CCVC"
"a.pan.dʒo"	"V.CVC.CV"	"V.CVC.CCV"
"a.pa.ja"	"V.CV.CV"	"V.CV.CV"
"a.pa.ja"	"V.CV.CV"	"V.CV.CV"
"a.pa.jam"	"V.CV.CVC"	"V.CV.CVC"
"a.pi.ne.ri"	"V.CV.CV.CV"	"V.CV.CV.CV"
"a.pri.ka"	"V.CCV.CV"	"V.CCV.CV"
"ar.di.saːɪ"	"VC.CV.CV"	"VC.CV.CVVV"
"a.reːn"	"V.CVC"	"V.CVVC"
"a.reːn"	"V.CVC"	"V.CVVC"
"a.reːn"	"V.CVC"	"V.CVVC"
"a.reːn"	"V.CVC"	"V.CVVC"
"a.rɪl"	"V.CVC"	"V.CVC"
"a.ri.lɪn.ja"	"V.CV.CVC.CV"	"V.CV.CVC.CV"
"a.ri.lɪn.ja"	"V.CV.CVC.CV"	"V.CV.CVC.CV"
"a.ri.lɪn.ja"	"V.CV.CVC.CV"	"V.CV.CVC.CV"
"a.ri.lɪn.ja"	"V.CV.CVC.CV"	"V.CV.CVC.CV"
"a.ri.lɪn.ja"	"V.CV.CVC.CV"	"V.CV.CVC.CV"
"a.ri.lɪn.ja"	"V.CV.CVC.CV"	"V.CV.CVC.CV"
"a.ri.lɪn.ja"	"V.CV.CVC.CV"	"V.CV.CVC.CV"
"a.ri.lɪn.ja"	"V.CV.CVC.CV"	"V.CV.CVC.CV"
"a.ri.lɪn.ja.leɪ"	"V.CV.CVC.CV.CV"	"V.CV.CVC.CV.CVV"
"a.ri.lɪn.ja.leɪ"	"V.CV.CVC.CV.CV"	"V.CV.CVC.CV.CVV"
"a.ri.lɪn.ja.leɪ"	"V.CV.CVC.CV.CV"	"V.CV.CVC.CV.CVV"
"a.ri.lɪn.jaːŋ"	"V.CV.CVC.CVC"	"V.CV.CVC.CVVC"
"a.rɪl.ja"	"V.CVC.CV"	"V.CVC.CV"
"a.rɪl.ja"	"V.CVC.CV"	"V.CVC.CV"
"a.sa"	"V.CV"	"V.CV"
"a.sa"	"V.CV"	"V.CV"
"a.sa.no"	"V.CV.CV"	"V.CV.CV"
"a.sa.ja"	"V.CV.CV"	"V.CV.CV"
"a.saː.ja"	"V.CV.CV"	"V.CVV.CV"
"a.saː.ja"	"V.CV.CV"	"V.CVV.CV"
"a.saː.ja"	"V.CV.CV"	"V.CVV.CV"
"a.sa.jam"	"V.CV.CVC"	"V.CV.CVC"
"a.sa.jam"	"V.CV.CVC"	"V.CV.CVC"
"a.sa.jam"	"V.CV.CVC"	"V.CV.CVC"
"a.saː.jaːŋ"	"V.CV.CVC"	"V.CVV.CVVC"
"a.taʊ.ja"	"V.CV.CV"	"V.CVV.CV"
"a.taɪ"	"V.CV"	"V.CVV"
"a.taɪ"	"V.CV"	"V.CVV"
"a.taɪ"	"V.CV"	"V.CVV"
"a.trar.jaː.naŋ"	"V.CCVC.CV.CVC"	"V.CCVC.CVV.CVC"
"a.trar.jaː.nas"	"V.CCVC.CV.CVC"	"V.CCVC.CVV.CVC"
"a.trar.jaːn.je.na"	"V.CCVC.CVC.CV.CV"	"V.CCVC.CVVC.CV.CV"
"a.trar.jaːn.je.na"	"V.CCVC.CVC.CV.CV"	"V.CCVC.CVVC.CV.CV"
"a.tra.sas"	"V.CCV.CVC"	"V.CCV.CVC"
"a.van"	"V.CVC"	"V.CVC"
"a.van"	"V.CVC"	"V.CVC"
"a.van"	"V.CVC"	"V.CVC"
"a.van"	"V.CVC"	"V.CVC"
"a.va.na.ja"	"V.CV.CV.CV"	"V.CV.CV.CV"
"a.va.nu"	"V.CV.CV"	"V.CV.CV"
"a.van.ja"	"V.CVC.CV"	"V.CVC.CV"
"a.van.ja"	"V.CVC.CV"	"V.CVC.CV"
"a.van.ja"	"V.CVC.CV"	"V.CVC.CV"
"a.van.ja"	"V.CVC.CV"	"V.CVC.CV"
"a.van.jaːŋ"	"V.CVC.CVC"	"V.CVC.CVVC"
"aɪ"	"V"	"VV"
"a.je.ri"	"V.CV.CV"	"V.CV.CV"
"a.je.ri"	"V.CV.CV"	"V.CV.CV"
"a.je.ri"	"V.CV.CV"	"V.CV.CV"
"a.je.ri"	"V.CV.CV"	"V.CV.CV"
"a.je.ri"	"V.CV.CV"	"V.CV.CV"
"a.jɔn"	"V.CVC"	"V.CVC"
"a.jɔn"	"V.CVC"	"V.CVC"
"a.jɔn"	"V.CVC"	"V.CVC"
"a.jɔn"	"V.CVC"	"V.CVC"
"a.jɔn"	"V.CVC"	"V.CVC"
"a.jɔn"	"V.CVC"	"V.CVC"
"a.jɔn"	"V.CVC"	"V.CVC"
"a.jɔn"	"V.CVC"	"V.CVC"
"a.jɔn"	"V.CVC"	"V.CVC"
"a.jɔn"	"V.CVC"	"V.CVC"
"a.jɔn"	"V.CVC"	"V.CVC"
"a.jɔn"	"V.CVC"	"V.CVC"
"a.jo.na.gɔŋ.jə"	"V.CV.CV.CVC.CV"	"V.CV.CV.CVC.CV"
"a.jo.naŋ"	"V.CV.CVC"	"V.CV.CVC"
"a.jo.naŋ"	"V.CV.CVC"	"V.CV.CVC"
"a.jo.nas"	"V.CV.CVC"	"V.CV.CVC"
"a.jo.nas"	"V.CV.CVC"	"V.CV.CVC"
"a.jo.nas"	"V.CV.CVC"	"V.CV.CVC"
"a.jo.nas"	"V.CV.CVC"	"V.CV.CVC"
"a.jo.ne.na"	"V.CV.CV.CV"	"V.CV.CV.CV"
"a.jo.ne.na"	"V.CV.CV.CV"	"V.CV.CV.CV"
"a.jo.ne.na"	"V.CV.CV.CV"	"V.CV.CV.CV"
"a.jɔn.ja"	"V.CVC.CV"	"V.CVC.CV"
"a.jɔn.jam"	"V.CVC.CVC"	"V.CVC.CVC"
"a.jɔn.jə"	"V.CVC.CV"	"V.CVC.CV"
"aɪ.ro.mi.tan"	"V.CV.CV.CVC"	"VV.CV.CV.CVC"
"aɪ.su"	"V.CV"	"VV.CV"
"ba.dan"	"CV.CVC"	"CV.CVC"
"ba.ha.la.nas"	"CV.CV.CV.CVC"	"CV.CV.CV.CVC"
"ba.ha.ja"	"CV.CV.CV"	"CV.CV.CV"
"ba.hɪs.dʒjam"	"CV.CVC.CCVC"	"CV.CVC.CCCVC"
"ba.hɪs.rɛŋ"	"CV.CVC.CVC"	"CV.CVC.CVC"
"ba.hɪs.ja"	"CV.CVC.CV"	"CV.CVC.CV"
"ba.hɪs.ja"	"CV.CVC.CV"	"CV.CVC.CV"
